rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,12:35.36,,Joshua CHEPTEGEI,1996-09-12,UGA,1,"Stade Louis II, Monaco (MON)",2020-08-14,1302.0,5000-metres,middlelong,male,senior,5000-metres,track,755.36,MON,23.0,2020
2,12:36.73,,Hagos GEBRHIWET,1994-05-11,ETH,1,"Bislett Stadion, Oslo (NOR)",2024-05-30,1296.0,5000-metres,middlelong,male,senior,5000-metres,track,756.73,NOR,30.0,2024
3,12:37.35,,Kenenisa BEKELE,1982-06-13,ETH,1,"FBK Stadium, Hengelo (NED)",2004-05-31,1294.0,5000-metres,middlelong,male,senior,5000-metres,track,757.35,NED,21.0,2004
4,12:38.95,,Yomif KEJELCHA,1997-08-01,ETH,2,"Bislett Stadion, Oslo (NOR)",2024-05-30,1288.0,5000-metres,middlelong,male,senior,5000-metres,track,758.95,NOR,26.0,2024
5,12:39.36,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Helsinki (FIN),1998-06-13,1286.0,5000-metres,middlelong,male,senior,5000-metres,track,759.36,FIN,25.0,1998
6,12:39.74,,Daniel KOMEN,1976-05-17,KEN,1,Bruxelles (BEL),1997-08-22,1285.0,5000-metres,middlelong,male,senior,5000-metres,track,759.74,BEL,21.0,1997
7,12:40.18,,Kenenisa BEKELE,1982-06-13,ETH,1,"Stade de France, Paris-St-Denis (FRA)",2005-07-01,1283.0,5000-metres,middlelong,male,senior,5000-metres,track,760.18,FRA,23.0,2005
8,12:40.45,,Berihu AREGAWI,2001-02-28,ETH,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1282.0,5000-metres,middlelong,male,senior,5000-metres,track,760.45,SUI,22.0,2023
9,12:40.96,,Jacob KIPLIMO,2000-11-14,UGA,3,"Bislett Stadion, Oslo (NOR)",2024-05-30,1280.0,5000-metres,middlelong,male,senior,5000-metres,track,760.96,NOR,23.0,2024
10,12:41.61,,Joshua CHEPTEGEI,1996-09-12,UGA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1278.0,5000-metres,middlelong,male,senior,5000-metres,track,761.61,SUI,26.0,2023
11,12:41.73,,Yomif KEJELCHA,1997-08-01,ETH,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1278.0,5000-metres,middlelong,male,senior,5000-metres,track,761.73,NOR,25.0,2023
11,12:41.73,,Jacob KIPLIMO,2000-11-14,UGA,2,"Bislett Stadion, Oslo (NOR)",2023-06-15,1278.0,5000-metres,middlelong,male,senior,5000-metres,track,761.73,NOR,22.0,2023
13,12:41.86,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Zürich (SUI),1997-08-13,1277.0,5000-metres,middlelong,male,senior,5000-metres,track,761.86,SUI,24.0,1997
14,12:42.18,,Hagos GEBRHIWET,1994-05-11,ETH,1,"Stade Louis II, Monaco (MON)",2023-07-21,1276.0,5000-metres,middlelong,male,senior,5000-metres,track,762.18,MON,29.0,2023
15,12:42.58,,Berihu AREGAWI,2001-02-28,ETH,2,"Stade Louis II, Monaco (MON)",2023-07-21,1274.0,5000-metres,middlelong,male,senior,5000-metres,track,762.58,MON,22.0,2023
16,12:42.70,,Telahun Haile BEKELE,1999-05-13,ETH,3,"Stade Louis II, Monaco (MON)",2023-07-21,1274.0,5000-metres,middlelong,male,senior,5000-metres,track,762.7,MON,24.0,2023
17,12:43.02,,Selemon BAREGA,2000-01-20,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31,1273.0,5000-metres,middlelong,male,senior,5000-metres,track,763.02,BEL,18.0,2018
1,12:43.02,,Selemon BAREGA,2000-01-20,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31,1273.0,5000-metres,middlelong,male,u20,5000-metres,track,763.02,BEL,18.0,2018
18,12:43.66,,Berihu AREGAWI,2001-02-28,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",2024-09-13,1270.0,5000-metres,middlelong,male,senior,5000-metres,track,763.66,BEL,23.0,2024
19,12:44.09,,Grant FISHER,1997-04-22,USA,1f1,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2025-02-14,1324.0,5000-metres,middlelong,male,senior,5000-metres,track,764.09,USA,27.0,2025
20,12:44.25,,Hagos GEBRHIWET,1994-05-11,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",2024-09-13,1268.0,5000-metres,middlelong,male,senior,5000-metres,track,764.25,BEL,30.0,2024
21,12:44.27,,Andreas ALMGREN,1995-06-12,SWE,1,"Olympiastadion, Stockholm (SWE)",2025-06-15,1268.0,5000-metres,middlelong,male,senior,5000-metres,track,764.27,SWE,30.0,2025
22,12:44.39,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Zürich (SUI),1995-08-16,1268.0,5000-metres,middlelong,male,senior,5000-metres,track,764.39,SUI,22.0,1995
23,12:44.90,,Daniel KOMEN,1976-05-17,KEN,2,Zürich (SUI),1997-08-13,1266.0,5000-metres,middlelong,male,senior,5000-metres,track,764.9,SUI,21.0,1997
24,12:45.01,,Mohamed KATIR,1998-02-17,ESP,4,"Stade Louis II, Monaco (MON)",2023-07-21,1265.0,5000-metres,middlelong,male,senior,5000-metres,track,765.01,MON,25.0,2023
25,12:45.09,,Daniel KOMEN,1976-05-17,KEN,1,Zürich (SUI),1996-08-14,1265.0,5000-metres,middlelong,male,senior,5000-metres,track,765.09,SUI,20.0,1996
26,12:45.27,,Nico YOUNG,2002-07-27,USA,1,"Bislett Stadion, Oslo (NOR)",2025-06-12,1264.0,5000-metres,middlelong,male,senior,5000-metres,track,765.27,NOR,22.0,2025
27,12:45.63,,Telahun Haile BEKELE,1999-05-13,ETH,3,"Boudewijnstadion, Bruxelles (BEL)",2024-09-13,1263.0,5000-metres,middlelong,male,senior,5000-metres,track,765.63,BEL,25.0,2024
28,12:45.71,,Jacob KROP,2001-06-04,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1263.0,5000-metres,middlelong,male,senior,5000-metres,track,765.71,BEL,21.0,2022
29,12:45.82,,Hagos GEBRHIWET,1994-05-11,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31,1262.0,5000-metres,middlelong,male,senior,5000-metres,track,765.82,BEL,24.0,2018
2,12:45.93,,Biniam MEHARY,2006-12-20,ETH,2,"Bislett Stadion, Oslo (NOR)",2025-06-12,1262.0,5000-metres,middlelong,male,u20,5000-metres,track,765.93,NOR,18.0,2025
30,12:45.93,,Biniam MEHARY,2006-12-20,ETH,2,"Bislett Stadion, Oslo (NOR)",2025-06-12,1262.0,5000-metres,middlelong,male,senior,5000-metres,track,765.93,NOR,18.0,2025
31,12:46.02,,Jacob KROP,2001-06-04,KEN,5,"Stade Louis II, Monaco (MON)",2023-07-21,1261.0,5000-metres,middlelong,male,senior,5000-metres,track,766.02,MON,22.0,2023
32,12:46.21,,Telahun Haile BEKELE,1999-05-13,ETH,3,"Bislett Stadion, Oslo (NOR)",2023-06-15,1261.0,5000-metres,middlelong,male,senior,5000-metres,track,766.21,NOR,24.0,2023
33,12:46.33,,Nicholas KIPKORIR,1998-09-29,KEN,1,"Stadio Olimpico, Roma (ITA)",2022-06-09,1260.0,5000-metres,middlelong,male,senior,5000-metres,track,766.33,ITA,23.0,2022
34,12:46.41,,Kuma GIRMA,2005-11-24,ETH,3,"Bislett Stadion, Oslo (NOR)",2025-06-12,1260.0,5000-metres,middlelong,male,senior,5000-metres,track,766.41,NOR,19.0,2025
35,12:46.53,,Eliud KIPCHOGE,1984-11-05,KEN,1,"Stadio Olimpico, Roma (ITA)",2004-07-02,1259.0,5000-metres,middlelong,male,senior,5000-metres,track,766.53,ITA,19.0,2004
36,12:46.59,,George MILLS,1999-05-12,GBR,4,"Bislett Stadion, Oslo (NOR)",2025-06-12,1259.0,5000-metres,middlelong,male,senior,5000-metres,track,766.59,NOR,26.0,2025
37,12:46.79,,Jacob KROP,2001-06-04,KEN,2,"Stadio Olimpico, Roma (ITA)",2022-06-09,1259.0,5000-metres,middlelong,male,senior,5000-metres,track,766.79,ITA,21.0,2022
37,12:46.79,,Yomif KEJELCHA,1997-08-01,ETH,3,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31,1259.0,5000-metres,middlelong,male,senior,5000-metres,track,766.79,BEL,21.0,2018
39,12:46.81,,Dejen GEBREMESKEL,1989-11-24,ETH,1,"Stade de France, Paris-St-Denis (FRA)",2012-07-06,1258.0,5000-metres,middlelong,male,senior,5000-metres,track,766.81,FRA,22.0,2012
40,12:46.82,,Hagos GEBRHIWET,1994-05-11,ETH,5,"Bislett Stadion, Oslo (NOR)",2025-06-12,1258.0,5000-metres,middlelong,male,senior,5000-metres,track,766.82,NOR,31.0,2025
41,12:46.91,,Yomif KEJELCHA,1997-08-01,ETH,1,"Letzigrund, Zürich (SUI)",2023-08-31,1258.0,5000-metres,middlelong,male,senior,5000-metres,track,766.91,SUI,26.0,2023
42,12:46.96,,Grant FISHER,1997-04-22,USA,2,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1258.0,5000-metres,middlelong,male,senior,5000-metres,track,766.96,BEL,25.0,2022
43,12:47.04,,Sileshi SIHINE,1983-01-29,ETH,2,"Stadio Olimpico, Roma (ITA)",2004-07-02,1258.0,5000-metres,middlelong,male,senior,5000-metres,track,767.04,ITA,21.0,2004
44,12:47.20,,Mohammed AHMED,1991-01-05,CAN,1,"Jesuit High School Track, Portland, OR (USA)",2020-07-10,1257.0,5000-metres,middlelong,male,senior,5000-metres,track,767.2,USA,29.0,2020
45,12:47.53,,Hagos GEBRHIWET,1994-05-11,ETH,2,"Stade de France, Paris-St-Denis (FRA)",2012-07-06,1256.0,5000-metres,middlelong,male,senior,5000-metres,track,767.53,FRA,18.0,2012
3,12:47.53,,Hagos GEBRHIWET,1994-05-11,ETH,2,"Stade de France, Paris-St-Denis (FRA)",2012-07-06,1256.0,5000-metres,middlelong,male,u20,5000-metres,track,767.53,FRA,18.0,2012
46,12:47.67,,Thierry NDIKUMWENAYO,1997-03-26,ESP,6,"Bislett Stadion, Oslo (NOR)",2025-06-12,1255.0,5000-metres,middlelong,male,senior,5000-metres,track,767.67,NOR,28.0,2025
47,12:47.84,,Yomif KEJELCHA,1997-08-01,ETH,1,"Stade Charléty, Paris (FRA)",2025-06-20,1255.0,5000-metres,middlelong,male,senior,5000-metres,track,767.84,FRA,27.0,2025
48,12:48.09,,Kenenisa BEKELE,1982-06-13,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",2006-08-25,1254.0,5000-metres,middlelong,male,senior,5000-metres,track,768.09,BEL,24.0,2006
49,12:48.10,,Thierry NDIKUMWENAYO,1997-03-26,ESP,4,"Bislett Stadion, Oslo (NOR)",2024-05-30,1254.0,5000-metres,middlelong,male,senior,5000-metres,track,768.1,NOR,27.0,2024
50,12:48.20,,Graham BLANKS,2002-04-24,USA,7,"Bislett Stadion, Oslo (NOR)",2025-06-12,1253.0,5000-metres,middlelong,male,senior,5000-metres,track,768.2,NOR,23.0,2025
51,12:48.25,,Kenenisa BEKELE,1982-06-13,ETH,1,Zürich (SUI),2006-08-18,1253.0,5000-metres,middlelong,male,senior,5000-metres,track,768.25,SUI,24.0,2006
52,12:48.45,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stadio Luigi Ridolfi, Firenze (ITA)",2021-06-10,1252.0,5000-metres,middlelong,male,senior,5000-metres,track,768.45,ITA,20.0,2021
53,12:48.63,,Jacob KIPLIMO,2000-11-14,UGA,1,"Mestský Stadion, Ostrava (CZE)",2020-09-08,1252.0,5000-metres,middlelong,male,senior,5000-metres,track,768.63,CZE,19.0,2020
4,12:48.64,,Isiah Kiplangat KOECH,1993-12-19,KEN,3,"Stade de France, Paris-St-Denis (FRA)",2012-07-06,1252.0,5000-metres,middlelong,male,u20,5000-metres,track,768.64,FRA,18.0,2012
54,12:48.64,,Isiah Kiplangat KOECH,1993-12-19,KEN,3,"Stade de France, Paris-St-Denis (FRA)",2012-07-06,1252.0,5000-metres,middlelong,male,senior,5000-metres,track,768.64,FRA,18.0,2012
55,12:48.66,,Isaac Kiprono SONGOK,1984-04-25,KEN,2,Zürich (SUI),2006-08-18,1252.0,5000-metres,middlelong,male,senior,5000-metres,track,768.66,SUI,22.0,2006
56,12:48.67,,Birhanu BALEW,1996-02-27,BRN,2,"Stade Charléty, Paris (FRA)",2025-06-20,1252.0,5000-metres,middlelong,male,senior,5000-metres,track,768.67,FRA,29.0,2025
57,12:48.77,,Yenew ALAMIREW,1990-05-27,ETH,4,"Stade de France, Paris-St-Denis (FRA)",2012-07-06,1251.0,5000-metres,middlelong,male,senior,5000-metres,track,768.77,FRA,22.0,2012
58,12:48.78,,Jacob KIPLIMO,2000-11-14,UGA,6,"Stade Louis II, Monaco (MON)",2023-07-21,1251.0,5000-metres,middlelong,male,senior,5000-metres,track,768.78,MON,22.0,2023
59,12:48.81,,Stephen CHERONO,1982-10-15,KEN,1,Ostrava (CZE),2003-06-12,1251.0,5000-metres,middlelong,male,senior,5000-metres,track,768.81,CZE,20.0,2003
60,12:48.98,,Daniel KOMEN,1976-05-17,KEN,1,"Stadio Olimpico, Roma (ITA)",1997-06-05,1250.0,5000-metres,middlelong,male,senior,5000-metres,track,768.98,ITA,21.0,1997
