rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,10.49,0.0,Florence GRIFFITH JOYNER,21 DEC 1959,USA,1qf1,"Indianapolis, IN (USA)",16 JUL 1988,1314,100-metres,sprints,female,senior
2,10.54,+0.9,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1302,100-metres,sprints,female,senior
3,10.60,+1.7,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1289,100-metres,sprints,female,senior
4,10.61,+1.2,Florence GRIFFITH JOYNER,21 DEC 1959,USA,1,"Indianapolis, IN (USA)",17 JUL 1988,1286,100-metres,sprints,female,senior
4,10.61,-0.6,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"National Stadium, Tokyo (JPN)",31 JUL 2021,1289,100-metres,sprints,female,senior
4,10.61,+0.3,Melissa JEFFERSON-WOODEN,21 FEB 2001,USA,1,"National Stadium, Tokyo (JPN)",14 SEP 2025,1286,100-metres,sprints,female,senior
7,10.62,+1.0,Florence GRIFFITH JOYNER,21 DEC 1959,USA,1qf3,"Olympic Stadium, Seoul (KOR)",24 SEP 1988,1284,100-metres,sprints,female,senior
7,10.62,+0.4,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,1284,100-metres,sprints,female,senior
9,10.63,+1.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1f1,"National Stadium, Kingston (JAM)",05 JUN 2021,1282,100-metres,sprints,female,senior
10,10.64,+1.2,Carmelita JETER,24 NOV 1979,USA,1,Shanghai (CHN),20 SEP 2009,1280,100-metres,sprints,female,senior
10,10.64,+1.7,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1280,100-metres,sprints,female,senior
12,10.65,+1.1,Marion JONES,12 OCT 1975,USA,1,"SGJ, Johannesburg (RSA)",12 SEP 1998,1277,100-metres,sprints,female,senior
12,10.65,+0.6,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1277,100-metres,sprints,female,senior
12,10.65,-0.8,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1281,100-metres,sprints,female,senior
12,10.65,+1.0,Shericka JACKSON,16 JUL 1994,JAM,1,"National Stadium, Kingston (JAM)",07 JUL 2023,1277,100-metres,sprints,female,senior
12,10.65,-0.2,Sha'Carri RICHARDSON,25 MAR 2000,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",21 AUG 2023,1278,100-metres,sprints,female,senior
12,10.65,+0.4,Melissa JEFFERSON-WOODEN,21 FEB 2001,USA,1,"Hayward Field, Eugene, OR (USA)",01 AUG 2025,1277,100-metres,sprints,female,senior
18,10.66,+0.5,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stadion Śląski, Chorzów (POL)",06 AUG 2022,1275,100-metres,sprints,female,senior
18,10.66,+0.1,Melissa JEFFERSON-WOODEN,21 FEB 2001,USA,1,"Stadion Śląski, Chorzów (POL)",16 AUG 2025,1275,100-metres,sprints,female,senior
20,10.67,-0.1,Carmelita JETER,24 NOV 1979,USA,1,Thessaloniki (GRE),13 SEP 2009,1273,100-metres,sprints,female,senior
20,10.67,-0.4,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1275,100-metres,sprints,female,senior
