rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,37:23.99,,Gabriel BORDIER,1997-10-08,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",2025-08-02,1242,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2243.99,FRA,27.0,2025
2,37:25.21,,Eiki TAKAHASHI,1992-11-19,JPN,1,"Juntendo University Stadium, Inzai (JPN)",2020-11-14,1241,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2245.21,JPN,28.0,2020
3,37:25.90,,Koki IKEDA,1998-05-03,JPN,2,"Juntendo University Stadium, Inzai (JPN)",2020-11-14,1241,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2245.9,JPN,22.0,2020
4,37:33.03,,Massimo STANO,1992-02-27,ITA,1f1,"Campo Mauro Ferrari, Prato (ITA)",2025-04-13,1235,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2253.03,ITA,33.0,2025
5,37:34.90,,Francesco FORTUNATO,1994-12-13,ITA,2f1,"Campo Mauro Ferrari, Prato (ITA)",2025-04-13,1234,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2254.9,ITA,30.0,2025
6,37:35.00,,Yuta KOGA,1999-07-15,JPN,3,"Juntendo University Stadium, Inzai (JPN)",2020-11-14,1234,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2255.0,JPN,21.0,2020
7,37:53.09,,Francisco Javier FERNÁNDEZ,1977-03-06,ESP,1,Santa Cruz de Tenerife (ESP),2008-07-27,1220,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2273.09,ESP,31.0,2008
8,37:57.02,,Perseus KARLSTRÖM,1990-05-02,SWE,,"Morton Stadium, Santry, Dublin (IRL)",2022-06-26,1217,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2277.02,IRL,32.0,2022
9,37:58.08,,Daisuke MATSUNAGA,1995-03-24,JPN,1,Kitami (JPN),2018-07-07,1217,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2278.08,JPN,23.0,2018
10,37:58.6h,,Ivano BRUGNETTI,1976-09-01,ITA,1,Sesto San Giovanni (ITA),2005-07-23,1216,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2278.6,ITA,28.0,2005
11,38:01.5h,,Eiki TAKAHASHI,1992-11-19,JPN,1,Nagasaki (JPN),2015-12-13,1214,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2281.5,JPN,23.0,2015
12,38:02.60,,Jozef PRIBILINEC,1960-07-06,TCH,1,Banská Bystrica (TCH),1985-08-30,1213,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2282.6,TCH,25.0,1985
13,38:03.69,,Sergey SHIROBOKOV,1999-02-11,RUS,1,"Kalininets Stadium, Yekaterinburg (RUS)",2024-08-18,1213,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2283.69,RUS,25.0,2024
14,38:03.78,,Declan TINGAY,1999-02-06,AUS,1,"AIS Athletics Track, Canberra (AUS)",2023-02-02,1212,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2283.78,AUS,24.0,2023
15,38:03.95,,Perseus KARLSTRÖM,1990-05-02,SWE,1,"Olympiastadion, Stockholm (SWE)",2019-08-24,1212,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2283.95,SWE,29.0,2019
16,38:06.28,,Miguel Ángel LÓPEZ,1988-07-03,ESP,1,Gijón (ESP),2016-07-24,1211,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2286.28,ESP,28.0,2016
17,38:06.6h,,David SMITH,1955-07-24,AUS,1,Sydney (AUS),1986-09-25,1210,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2286.6,AUS,31.0,1986
18,38:07.88,,Declan TINGAY,1999-02-06,AUS,1,"SA Athletic Stadium, Adelaide (AUS)",2024-04-11,1209,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2287.88,AUS,25.0,2024
19,38:08.13,,Yohann DINIZ,1978-01-01,FRA,1,Reims (FRA),2014-07-12,1209,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2288.13,FRA,36.0,2014
20,38:08.50,,Evan DUNFEE,1990-09-28,CAN,1,"AIS Athletics Track, Canberra (AUS)",2025-01-27,1209,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2288.5,AUS,34.0,2025
21,38:10.23,,Yusuke SUZUKI,1988-01-02,JPN,1,Abashiri (JPN),2015-07-16,1208,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2290.23,JPN,27.0,2015
22,38:10.39,,Sergey KOZHEVNIKOV,2001-05-09,RUS,1,"Meteor, Zhukovskiy (RUS)",2025-06-21,1208,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2290.39,RUS,24.0,2025
23,38:12.13,,Ronald WEIGEL,1959-08-08,GDR,1,Potsdam (GDR),1986-05-11,1206,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2292.13,GDR,26.0,1986
24,38:13.51,,Rhydian COWLEY,1991-01-04,AUS,2,"SA Athletic Stadium, Adelaide (AUS)",2024-04-11,1205,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2293.51,AUS,33.0,2024
25,38:13.98,,Vasiliy MIZINOV,1997-12-29,RUS,2,"Kalininets Stadium, Yekaterinburg (RUS)",2024-08-18,1205,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2293.98,RUS,26.0,2024
26,38:14.24,,Vasiliy MIZINOV,1997-12-29,ANA,1,"Olympic Stadium, Cheboksary (RUS)",2022-08-02,1205,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2294.24,RUS,24.0,2022
27,38:15.86,,Koki IKEDA,1998-05-03,JPN,1,"Nagaragawa Stadium, Gifu (JPN)",2022-09-24,1204,10000-metres-race-walk,race-walks,male,senior,10000-metres-race-walk,track,2295.86,JPN,24.0,2022
